id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO000258;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 8/M;4709;https://www.safesave.info/MIC.php?id=Fajar-MotorList4709;2023-10-27 12:27:52
EMO000263;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 9/M;4710;https://www.safesave.info/MIC.php?id=Fajar-MotorList4710;2023-10-27 12:27:53
EMO000264;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 10/M;4711;https://www.safesave.info/MIC.php?id=Fajar-MotorList4711;2023-10-27 12:27:54
EMO000266;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 11/M;4712;https://www.safesave.info/MIC.php?id=Fajar-MotorList4712;2023-10-27 12:27:55
EMO000340;FP-01-PM7-CUT-RWD1;;MOTOR;Installed;PM7.SLITER 12/M;4713;https://www.safesave.info/MIC.php?id=Fajar-MotorList4713;2023-10-27 12:27:56
EMO001851;FP-01-PM7-CUT-RWD1-FDR1;;MOTOR;Installed;REW1.D2/GB/M;4714;https://www.safesave.info/MIC.php?id=Fajar-MotorList4714;2023-10-27 12:27:57
EMO001850;FP-01-PM7-CUT-RWD1-RDR1;;MOTOR;Installed;REW1.D1/GB/M;4715;https://www.safesave.info/MIC.php?id=Fajar-MotorList4715;2023-10-27 12:27:58
EMO000047;FP-01-PM7-CUT-RWD1-UNWD;;MOTOR;Installed;PM7.REW1.UNW/BLW/M;4716;https://www.safesave.info/MIC.php?id=Fajar-MotorList4716;2023-10-27 12:27:59
EMO002670;FP-01-PM7-CUT-RWD1-UNWD;;MOTOR;Installed;PM7.REW1.UNW/M;4717;https://www.safesave.info/MIC.php?id=Fajar-MotorList4717;2023-10-27 12:28:00
EMO003259;FP-01-PM7-CUT-RWD2;;Sliter Movement Motor;Installed;PM7.RWD2.SLITTER MOVEMENT/M;4718;https://www.safesave.info/MIC.php?id=Fajar-MotorList4718;2023-10-27 12:28:01
EMO001854;FP-01-PM7-CUT-RWD2-FDR2;;MOTOR;Installed;REW2.D2/GB/M;4719;https://www.safesave.info/MIC.php?id=Fajar-MotorList4719;2023-10-27 12:28:02
EMO002552;FP-01-PM7-CUT-RWD2-LIPR;;MOTOR;Installed;PM7.REW.LIR/M;4720;https://www.safesave.info/MIC.php?id=Fajar-MotorList4720;2023-10-27 12:28:03
EMO001853;FP-01-PM7-CUT-RWD2-RDR1;;MOTOR;Installed;REW2.D1/GB/M;4721;https://www.safesave.info/MIC.php?id=Fajar-MotorList4721;2023-10-27 12:28:04
EMO002671;FP-01-PM7-CUT-RWD2-UNWD;;MOTOR;Installed;PM7.RWD2.UNW/M;4722;https://www.safesave.info/MIC.php?id=Fajar-MotorList4722;2023-10-27 12:28:05
