id;emo;tag_name
FP-01-PM3-BRS-T037-A020;EMO000941;PM3-BR01/AGT/M
FP-01-PM3-APS-T031-P048;EMO003499;SP3.C32/P40/M
FP-01-PM3-APS-T031-P047;EMO002001;SP3.C32/P30/M
FP-01-PM3-APS-T031-P046;EMO002648;SP3.C32/P29/M
FP-01-PM3-APS-T031-P045;EMO002518;SP3.C32/P6/M
FP-01-PM3-APS-SR13;EMO000879;PM3.AP02/M
FP-01-CH3-WRS-T103-P111;EMO002859;CH3.SUMPIT TANK/M
FP-01-CH3-WRS-T085-P080;EMO001049;CH3.3CPHW03/M
FP-01-CH3-WRS-T085-P079;EMO001048;CH3.3CPHW02/M
FP-01-CH3-WRS-T085-P078;EMO001047;CH3.3CPHW01/M
FP-01-CH3-STA-T105-P117;EMO003366;CH3.C23.P/M
FP-01-CH3-STA-T105-A033;EMO003364;CH3.C21.P/M
FP-01-CH3-STA-T091-P125;EMO000853;CH3.C25.P2/M
FP-01-CH3-STA-T091-P087;EMO001062;CH3.C25/M
FP-01-CH3-STA-T091-A029;EMO002070;CH3.MC13/M
FP-01-CH3-STA-T090-A028;EMO001058;CH3.3C.DF01/M
FP-01-CH3-STA-T087-P082;EMO001052;CH3.C.27/M
FP-01-CH3-STA-T087-P081;MGM000998;CH3.C.17/GM
FP-01-CH3-STA-T087-A026;EMO001059;CH3.MC.16/M
FP-01-CH3-STA-CN03;EMO000431;CH3.3CSC01/M
FP-01-CH3-CAT-T103-P112;EMO001954;CH3.CATIONIC PUMP/M
FP-01-CH3-ALM-T089-P086;EMO001057;CH3.C06A/M
FP-01-CH3-ALM-T089-P085;EMO001056;CH3.C06/M
FP-01-CH3-ALM-T089-A027;EMO001055;CH3.MC01/M
FP-01-SP3-OCC-DP01-CN12;EMO005155;SP3_DP_CN12/M
