"id";"tag_name";"created_at";"updated_at"
"FP-01-PM1-AP3-T163-P180";"PM1.APP3.T2/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T164-P181";"PM1.APP3.T3/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T164-P182";"PM1.APP3.T3/P2/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP3-T164-P183";"PM1.APP3.T3/P3/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP4-SR31";"PM1.APP4.PS1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP4-T165-A043";"PM1.APP4.C(BL)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP4-T165-P184";"PM1.APP4.C(BL)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP4-T166-A044";"PM1.APP4.C(MC)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP4-T166-P185";"PM1.APP4.C(MC)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP4-T167-P186";"PM1.APP4.SL/P(FN)/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP4-T168-P187";"PM1.APP4.T1/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP4-T169-P188";"PM1.APP4.T2/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP5-SR32";"PM1.APP5.PS1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP5-T170-A045";"PM1.APP5.C(BL)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP5-T170-P189";"PM1-AP5-T170-P189-M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP5-T171-A046";"PM1.APP5.C(MC)/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP5-T171-P190";"PM1.APP5.C(MC)/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP5-T172-P191";"PM1.APP5.SL/P(FN)/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP5-T173-P192";"PM1.APP5.T1/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-AP5-T174-P193";"PM1.APP5.T2/P1/M";"2023-10-26 14:45:21";NULL
