emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO004202;Marathon;72103801j;HJN1;7.5;kw;380;14.7;50;2P;2900;6308;6308;132s;;3;0.88;87;55;Class F;S1;Delta;Not Available;;;;140;210;132;;Internal;Horizontal
EMO004203;Marathon;72103601j;HJN1;5.5;kw;380;10.9;50;4P;1480;6308;6308;132s;;3;0.88;88.1;55;Class F;S1;Delta;Not Available;;;;140;210;132;;Internal;Horizontal
EMO004131;Marathon;72105401i;HJN1;90;kW;380;167;50;4P;1480;6317;6317;280M;;3;0.87;94.2;55;Class F;S1;Delta;Available;;;;425;460;280;;Internal;Horizontal
EMO004132;Marathon;72105402i;HJN1;90;kW;380;167;50;2P;2955;6317;6317;280M;;3;0.87;94.2;55;Class F;S1;Delta;Available;;;;425;460;280;;Internal;Horizontal
EMO004149;Marathon;;HJN1;45;KW;380;81.8;50;4P;1470;6313;6313;255L;;3;0.9;;55;Class F;S1;Delta;Not Available;;;;;;255;;Internal;Horizontal
EMO004133;Marathon;72104414J;HJN1;30;kW;380;57.4;50;4P;1430;6312;6312;200L;;3;0.86;92.3;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;
EMO004204;ABB;;MT;2.2;kW;380;4;50;4P;1430;;;100L;;3;0.77;;55;Class F;;Start;Not Available;;;;;;100;;Internal;Horizontal
EMO004205;ABB;;MT;2.2;kW;380;4;50;4P;1430;;;100L;;3;0.77;;55;Class F;;Start;Not Available;;;;140;160;100;;Internal;Horizontal
EMO004150;ABB;;MT;2.2;KW;380;4;50;2P;2900;;;100L;;3;0.77;;55;Class F;;Start;Not Available;;;;140;160;100;;Internal;Horizontal
EMO004185;Marathon;;HJN1;4;kW;380;8;50;4P;1465;6306;6306;112M;;3;0.88;85.8;;;;Delta;Not Available;;;;;;112;;Internal;Horizontal
