id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO000811;Installed;FP-01-SP1-CLD-T073-P095;SP1.CL.C2/P1/M;10010924;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";1152;https://www.safesave.info/MIC.php?id=Fajar-MotorList1152;2023-11-21 08:45:26
EMO000706;Installed;FP-01-PM2-VAS-T081-P084;PM2.VAC.T(DLG)5/P1/M;10010607;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";1153;https://www.safesave.info/MIC.php?id=Fajar-MotorList1153;2023-11-21 08:45:27
EMO003134;Installed;FP-01-PM2-VAS-T078-P083;PM2.VAC.T(DLG)4/P1/M;10010619;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";1154;https://www.safesave.info/MIC.php?id=Fajar-MotorList1154;2023-11-21 08:45:28
EMO001835;Installed;FP-01-PM2-VAS-T077-P082;CH5.SUMPIT TANK/M;10022186;"AC MOTOR;380V,50Hz,4kW,4P,112M,B3";1155;https://www.safesave.info/MIC.php?id=Fajar-MotorList1155;2023-11-21 08:45:29
EMO001005;Installed;FP-01-PM2-VAS-BL25;PM2.VAC AIR.T/BLW2/M (VAAHTO);;"AC MOTOR;380V,50Hz,2.2kW,2P,90L,B";1156;https://www.safesave.info/MIC.php?id=Fajar-MotorList1156;2023-11-21 08:45:30
EMO000860;Installed;FP-01-PM2-VAS-BL24;PM2.VAC AIR.T/BLW1/M (VAAHTO);;"AC MOTOR;380V,50Hz,2.2kW,2P,90L,B";1157;https://www.safesave.info/MIC.php?id=Fajar-MotorList1157;2023-11-21 08:45:31
EMO000805;Installed;FP-01-PM2-VAS-BL07;PM2.VAC.BLW4/M;;"AC MOTOR;380V,50Hz,30kW,2P,200L";1158;https://www.safesave.info/MIC.php?id=Fajar-MotorList1158;2023-11-21 08:45:32
EMO002075;Installed;FP-01-SP1-CLD-T077-P099;SP1.CL.C6/P1/M;10010924;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";1159;https://www.safesave.info/MIC.php?id=Fajar-MotorList1159;2023-11-21 08:45:33
EMO000278;Installed;FP-01-PM2-VAS-BL05;PM2.VAC.BLW5/M;10010686;"AC MOTOR;380V,50Hz,90kW,2P,280S,B3";1160;https://www.safesave.info/MIC.php?id=Fajar-MotorList1160;2023-11-21 08:45:34
EMO000802;Installed;FP-01-CH1-STA-T234-A087;CH1.STA.T3/AGT/M;10010692;"AC MOTOR;380V,50Hz,7.5kW,4P,132M,B3";1161;https://www.safesave.info/MIC.php?id=Fajar-MotorList1161;2023-11-21 08:45:35
EMO000801;Installed;FP-01-CH1-STA-T234-P239;CH1.STA.T3/P1/M;10010886;"AC MOTOR;380V,50Hz,7.5kW,4P,132M,B3";1162;https://www.safesave.info/MIC.php?id=Fajar-MotorList1162;2023-11-21 08:45:36
EMO002894;Installed;FP-01-PM2-STC-T135-P144;PM2.STC.T1/P1/M;;"AC MOTOR;380V,50Hz,55kW,4P,250M,B3";1163;https://www.safesave.info/MIC.php?id=Fajar-MotorList1163;2023-11-21 08:45:37
EMO003303;Available;;;10010603;"AC MOTOR;380V,50Hz,15kW,6P,180L,B3";1164;https://www.safesave.info/MIC.php?id=Fajar-MotorList1164;2023-11-21 08:45:38
EMO000525;Installed;FP-01-PM2-STC-T133-P134;PM2.STC.CDS/VP1/M;10010674;"AC MOTOR;380V,50Hz,15kW,6P,180L,B3";1165;https://www.safesave.info/MIC.php?id=Fajar-MotorList1165;2023-11-21 08:45:39
EMO000799;Installed;FP-01-PM2-STC-T109-P114;PM2.STC.T(DN)1/P2/M;10010902;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";1166;https://www.safesave.info/MIC.php?id=Fajar-MotorList1166;2023-11-21 08:45:40
EMO000798;Installed;FP-01-PM2-STC-T109-P113;PM2.STC.T(DN)1/P1/M;;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";1167;https://www.safesave.info/MIC.php?id=Fajar-MotorList1167;2023-11-21 08:45:41
EMO003848;Available;;;10027255;"AC MOTOR;380V,50Hz,4kW,4P,112M,B3";1168;https://www.safesave.info/MIC.php?id=Fajar-MotorList1168;2023-11-21 08:45:42
