id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO004790;Available;;BO6.CMS.BL05/2M0441/M;10033769;"AC MOTOR;3000V,50Hz,560kW";5848;https://www.safesave.info/MIC.php?id=Fajar-MotorList5848;2023-11-21 09:31:20
EMO004788;Installed;FP-01-BO6-CMS-BL03;BO6.CMS.BL03/2M0351/M;;MOTOR ROOTS BLOWER 1 2M0351;5849;https://www.safesave.info/MIC.php?id=Fajar-MotorList5849;2023-11-21 09:31:21
EMO004789;Installed;FP-01-BO6-CMS-BL04;BO6.CMS.BL04/2M0352/M;;MOTOR ROOTS BLOWER 2 2M0352;5850;https://www.safesave.info/MIC.php?id=Fajar-MotorList5850;2023-11-21 09:31:22
MGM001015;Installed;FP-01-BO6-SLG-SRF1;BO6.SLG.SRF1/2M3711/GM;;Gaar Motor Slag Cooler 1 2M3711;5851;https://www.safesave.info/MIC.php?id=Fajar-MotorList5851;2023-11-21 09:31:23
MGM001016;Installed;FP-01-BO6-SLG-SRF2;BO6.SLG.SRF2/2M3721/GM;;Gear Motor Slag Cooler 2 2M3721;5852;https://www.safesave.info/MIC.php?id=Fajar-MotorList5852;2023-11-21 09:31:24
MGM001010;Installed;FP-01-BO6-CMS-CN01A;BO6-CMS-CN01A/2M0612/GM;;Gear Motor Cleaner 2M0612;5853;https://www.safesave.info/MIC.php?id=Fajar-MotorList5853;2023-11-21 09:31:25
MGM001012;Installed;FP-01-BO6-CMS-CN02A;BO6.CMS.CN02A/2M0622/GM;;Gear Motor Cleaner 2M0622;5854;https://www.safesave.info/MIC.php?id=Fajar-MotorList5854;2023-11-21 09:31:26
MGM001014;Installed;FP-01-BO6-CMS-CN03A;BO6.CMS.CN03A/2M0632/GM;;Gear Motor Cleaner 2M0632;5855;https://www.safesave.info/MIC.php?id=Fajar-MotorList5855;2023-11-21 09:31:27
EMO004767;Available;;;;DELETED;5856;https://www.safesave.info/MIC.php?id=Fajar-MotorList5856;2023-11-21 09:31:28
EMO004776;Available;;;;DELETED;5857;https://www.safesave.info/MIC.php?id=Fajar-MotorList5857;2023-11-21 09:31:29
EMO004768;Available;;;;DELETED;5858;https://www.safesave.info/MIC.php?id=Fajar-MotorList5858;2023-11-21 09:31:30
EMO004777;Available;;;;DELETED;5859;https://www.safesave.info/MIC.php?id=Fajar-MotorList5859;2023-11-21 09:31:31
EMO004769;Available;;;;DELETED;5860;https://www.safesave.info/MIC.php?id=Fajar-MotorList5860;2023-11-21 09:31:32
EMO004778;Available;;;;DELETED;5861;https://www.safesave.info/MIC.php?id=Fajar-MotorList5861;2023-11-21 09:31:33
EMO004770;Available;;;;DELETED;5862;https://www.safesave.info/MIC.php?id=Fajar-MotorList5862;2023-11-21 09:31:34
EMO004779;Available;;;;DELETED;5863;https://www.safesave.info/MIC.php?id=Fajar-MotorList5863;2023-11-21 09:31:35
EMO004771;Available;;;;DELETED;5864;https://www.safesave.info/MIC.php?id=Fajar-MotorList5864;2023-11-21 09:31:36
EMO004780;Available;;;;DELETED;5865;https://www.safesave.info/MIC.php?id=Fajar-MotorList5865;2023-11-21 09:31:37
EMO004772;Available;;;;DELETED;5866;https://www.safesave.info/MIC.php?id=Fajar-MotorList5866;2023-11-21 09:31:38
EMO004781;Available;;;;DELETED;5867;https://www.safesave.info/MIC.php?id=Fajar-MotorList5867;2023-11-21 09:31:39
EMO004773;Available;;;;DELETED;5868;https://www.safesave.info/MIC.php?id=Fajar-MotorList5868;2023-11-21 09:31:40
EMO004782;Available;;;;DELETED;5869;https://www.safesave.info/MIC.php?id=Fajar-MotorList5869;2023-11-21 09:31:41
EMO004774;Available;;;;DELETED;5870;https://www.safesave.info/MIC.php?id=Fajar-MotorList5870;2023-11-21 09:31:42
EMO004783;Available;;;;DELETED;5871;https://www.safesave.info/MIC.php?id=Fajar-MotorList5871;2023-11-21 09:31:43
EMO004775;Available;;;;DELETED;5872;https://www.safesave.info/MIC.php?id=Fajar-MotorList5872;2023-11-21 09:31:44
EMO004784;Available;;;;DELETED;5873;https://www.safesave.info/MIC.php?id=Fajar-MotorList5873;2023-11-21 09:31:45
EMO004674;Installed;FP-01-DM2-RGS-P700;DM2.RGS/P-1001/M;;"AC MOTOR;380V,50Hz,3kW,4P";5874;https://www.safesave.info/MIC.php?id=Fajar-MotorList5874;2023-11-21 09:31:46
EMO004675;Installed;FP-01-DM2-RGS-P701;DM2.RGS/P-1002/M;;"AC MOTOR;380V,50Hz,3kW,4P";5875;https://www.safesave.info/MIC.php?id=Fajar-MotorList5875;2023-11-21 09:31:47
EMO004676;Installed;FP-01-DM2-RGS-P702;DM2.RGS/P-1003/M;;"AC MOTOR;380V,50Hz,3kW,4P";5876;https://www.safesave.info/MIC.php?id=Fajar-MotorList5876;2023-11-21 09:31:48
EMO004681;Installed;FP-01-DM2-RGS-P703;DM2.RGS/P-1004/M;;"AC MOTOR;380,50Hz,18.5kW,4P";5877;https://www.safesave.info/MIC.php?id=Fajar-MotorList5877;2023-11-21 09:31:49
EMO004682;Installed;FP-01-DM2-RGS-P704;DM2.RGS/P-1005/M;;"AC MOTOR;380,50Hz,18.5kW,4P";5878;https://www.safesave.info/MIC.php?id=Fajar-MotorList5878;2023-11-21 09:31:50
EMO004677;Installed;FP-01-DM2-RGS-P705;DM2.RGS/P-1006/M;;"AC MOTOR;380V,50Hz,11kW,4P";5879;https://www.safesave.info/MIC.php?id=Fajar-MotorList5879;2023-11-21 09:31:51
EMO004678;Installed;FP-01-DM2-RGS-P706;DM2.RGS/P-1007/M;;"AC MOTOR;380V,50Hz,11kW,4P";5880;https://www.safesave.info/MIC.php?id=Fajar-MotorList5880;2023-11-21 09:31:52
EMO004650;Installed;FP-01-DM2-PRT-P010;DM2.PRT/P-101(M);;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";5881;https://www.safesave.info/MIC.php?id=Fajar-MotorList5881;2023-11-21 09:31:53
